# tool: stig_patch_cycle_analyzer.py,,,,,,,,,,,,,
# version: 1.0.0,,,,,,,,,,,,,
# run_ts_utc: 2026-01-21T23:31:33+00:00Z,,,,,,,,,,,,,
# run_id: 20260121_163133,,,,,,,,,,,,,
STIG_NAME,STIG_ID,FILE_NAME,FULL_PATH,STIG_VERSION,STIG_REVISION,BENCHMARK_DATE,VULN_ID,RULE_ID,LEGACY_IDS,CCI_REFS,SEVERITY,WEIGHT,RULE_TITLE
ADOBE COLDFUSION,ADOBE_COLDFUSION_STIG,U_ADOBE_COLDFUSION_STIG_V1R1_MANUAL-XCCDF.XML,C:\STIG Library\U_Adobe_ColdFusion_V1R1_STIG.zip\U_Adobe_ColdFusion_V1R1_Manual_STIG\U_Adobe_ColdFusion_STIG_V1R1_Manual-xccdf.xml,1,1,25-Nov-25,V-279030,SV-279030R1171489_RULE,NONE,'CCI-000054',LOW,1,ColdFusion must limit concurrent sessions to the Administrator Console.
ADOBE COLDFUSION,ADOBE_COLDFUSION_STIG,U_ADOBE_COLDFUSION_STIG_V1R1_MANUAL-XCCDF.XML,C:\STIG Library\U_Adobe_ColdFusion_V1R1_STIG.zip\U_Adobe_ColdFusion_V1R1_Manual_STIG\U_Adobe_ColdFusion_STIG_V1R1_Manual-xccdf.xml,1,1,25-Nov-25,V-279031,SV-279031R1171492_RULE,NONE,'CCI-001453',MEDIUM,4,The ColdFusion built-in Tomcat Web Server must use FIPS-validated ciphers on secured connectors.
ADOBE COLDFUSION,ADOBE_COLDFUSION_STIG,U_ADOBE_COLDFUSION_STIG_V1R1_MANUAL-XCCDF.XML,C:\STIG Library\U_Adobe_ColdFusion_V1R1_STIG.zip\U_Adobe_ColdFusion_V1R1_Manual_STIG\U_Adobe_ColdFusion_STIG_V1R1_Manual-xccdf.xml,1,1,25-Nov-25,V-279032,SV-279032R1171325_RULE,NONE,'CCI-000166',MEDIUM,4,ColdFusion must require enforced authentication.
ADOBE COLDFUSION,ADOBE_COLDFUSION_STIG,U_ADOBE_COLDFUSION_STIG_V1R1_MANUAL-XCCDF.XML,C:\STIG Library\U_Adobe_ColdFusion_V1R1_STIG.zip\U_Adobe_ColdFusion_V1R1_Manual_STIG\U_Adobe_ColdFusion_STIG_V1R1_Manual-xccdf.xml,1,1,25-Nov-25,V-279033,SV-279033R1171269_RULE,NONE,'CCI-000166',LOW,1,ColdFusion must not have local users.
ADOBE COLDFUSION,ADOBE_COLDFUSION_STIG,U_ADOBE_COLDFUSION_STIG_V1R1_MANUAL-XCCDF.XML,C:\STIG Library\U_Adobe_ColdFusion_V1R1_STIG.zip\U_Adobe_ColdFusion_V1R1_Manual_STIG\U_Adobe_ColdFusion_STIG_V1R1_Manual-xccdf.xml,1,1,25-Nov-25,V-279034,SV-279034R1171436_RULE,NONE,"'CCI-000130', 'CCI-000131', 'CCI-000132', 'CCI-000133', 'CCI-000134', 'CCI-001487', 'CCI-000135'",LOW,1,ColdFusion must produce log records containing information to establish what type of events occurred.
ADOBE COLDFUSION,ADOBE_COLDFUSION_STIG,U_ADOBE_COLDFUSION_STIG_V1R1_MANUAL-XCCDF.XML,C:\STIG Library\U_Adobe_ColdFusion_V1R1_STIG.zip\U_Adobe_ColdFusion_V1R1_Manual_STIG\U_Adobe_ColdFusion_STIG_V1R1_Manual-xccdf.xml,1,1,25-Nov-25,V-279035,SV-279035R1171616_RULE,NONE,'CCI-000132',LOW,1,ColdFusion must log scheduled tasks.
ADOBE COLDFUSION,ADOBE_COLDFUSION_STIG,U_ADOBE_COLDFUSION_STIG_V1R1_MANUAL-XCCDF.XML,C:\STIG Library\U_Adobe_ColdFusion_V1R1_STIG.zip\U_Adobe_ColdFusion_V1R1_Manual_STIG\U_Adobe_ColdFusion_STIG_V1R1_Manual-xccdf.xml,1,1,25-Nov-25,V-279036,SV-279036R1171601_RULE,NONE,"'CCI-000162', 'CCI-000163', 'CCI-000164', 'CCI-001314'",MEDIUM,4,The ColdFusion log information must be protected from any type of unauthorized read access by having file ownership set properly.
ADOBE COLDFUSION,ADOBE_COLDFUSION_STIG,U_ADOBE_COLDFUSION_STIG_V1R1_MANUAL-XCCDF.XML,C:\STIG Library\U_Adobe_ColdFusion_V1R1_STIG.zip\U_Adobe_ColdFusion_V1R1_Manual_STIG\U_Adobe_ColdFusion_STIG_V1R1_Manual-xccdf.xml,1,1,25-Nov-25,V-279037,SV-279037R1171603_RULE,NONE,"'CCI-001493', 'CCI-001494', 'CCI-001495'",LOW,1,The ColdFusion file ownership and permissions must be restricted to prevent unauthorized access to log tools.
ADOBE COLDFUSION,ADOBE_COLDFUSION_STIG,U_ADOBE_COLDFUSION_STIG_V1R1_MANUAL-XCCDF.XML,C:\STIG Library\U_Adobe_ColdFusion_V1R1_STIG.zip\U_Adobe_ColdFusion_V1R1_Manual_STIG\U_Adobe_ColdFusion_STIG_V1R1_Manual-xccdf.xml,1,1,25-Nov-25,V-279038,SV-279038R1171464_RULE,NONE,'CCI-001749',MEDIUM,4,"Before installing or upgrading ColdFusion, the integrity of the installation package must be manually verified."
ADOBE COLDFUSION,ADOBE_COLDFUSION_STIG,U_ADOBE_COLDFUSION_STIG_V1R1_MANUAL-XCCDF.XML,C:\STIG Library\U_Adobe_ColdFusion_V1R1_STIG.zip\U_Adobe_ColdFusion_V1R1_Manual_STIG\U_Adobe_ColdFusion_STIG_V1R1_Manual-xccdf.xml,1,1,25-Nov-25,V-279039,SV-279039R1171605_RULE,NONE,'CCI-001499',MEDIUM,4,Critical ColdFusion directories must have secure file system permissions and ownership.
